article,german,german plural,english,pos,category,
,runtergefallen,,to fall down,verbs,,
,hoffentlich,,hopefully,adverbs,,
,nochmal,,once again,adverbs,,
,wieder,,again,adverbs,,
,typisch,,typically,adverbs,,
,blau,,blue,adjectives,color,
,grün,,green,adjectives,color,
,rot,,red,adjectives,color,
,braun,,brown,adjectives,color,
,schwarz,,black,adjectives,color,
,weiß,,white,adjectives,color,
,gelb,,yellow,adjectives,color,
,orange,,orange,adjectives,color,
,lila,,purple,adjectives,color,
,rosa,,pink,adjectives,color,
,grau,,gray,adjectives,color,
,neu,,new,adjectives,,
,groß,,big,adjectives,,
,alt,,old,adjectives,,
,hoch,,high,adjectives,,
,klein,,small,adjectives,,
,lang,,long,adjectives,,
,jung,,young,adjectives,,
,spät,,late,adjectives,,
,wichtig,,important,adjectives,,
,kurz,,short,adjectives,,
,früh,,early,adjectives,,
,schwer,,heavy,adjectives,,
,richtig,,right,adjectives,,
,schnell,,fast,adjectives,,
,leicht,,light,adjectives,,
,falsch,,wrong,adjectives,,
,teuer,,expensive,adjectives,,
,langsam,,slow,adjectives,,
,niedrig,,low,adjectives,,
,kalt,,cold,adjectives,,
,glücklich,,happy,adjectives,,
,gesund,,healthy,adjectives,,
,laut,,loud,adjectives,,
,warm,,warm,adjectives,,
,billig,,cheap,adjectives,,
,krank,,ill,adjectives,,
,leise,,quiet,adjectives,,
,gut,,good,adjectives,,
,schlecht,,bad,adjectives,,
,müde,,tired,adjectives,,
das,Tier,Tiere,animal,nouns,animals,
das,Haustier,Haustiere,pet,nouns,animals,
der,Hund,Hunde,dog,nouns,animals,
die,Katze,Katzen,cat,nouns,animals,
das,Kaninchen,Kaninchen,rabbit,nouns,animals,
das,Eichhörnchen,Eichhörnchen,squirrel,nouns,animals,
die,Eule,Eulen,owl,nouns,animals,
der,Hirsch,Hirsche,deer,nouns,animals,
der,Fuchs,Füchse,fox,nouns,animals,
der,Fisch,Fische,fish,nouns,animals,
die,Ziege,Ziegen,goat,nouns,animals,
der,Schwan,Schwäne,swan,nouns,animals,
der,Elefant,Elefanten,elephant,nouns,animals,
der,Vogel,Vögel,bird,nouns,animals,
der,Bär,Bären,bear,nouns,animals,
die,Taube,Tauben,pigeon,nouns,animals,
die,Wand,Wände,wall,nouns,house,
der,Tisch,Tische,table,nouns,house,
das,Sofa,Sofas,couch,nouns,house,
die,Uhr,Uhren,clock/watch,nouns,house,
der,Stuhl,Stühle,chair,nouns,house,
die,Lampe,Lampen,lamp,nouns,house,
die,Pflanze,Pflanzen,plant,nouns,house,
das,Foto,Fotos,photo,nouns,house,
das,Telefon,Telefons,telephone,nouns,house,
das,Hemd,Hemden,shirt,nouns,clothes,
das,Kopftuch,Kopftücher,headscarf,nouns,clothes,
das,Kleid,Kleider,dress,nouns,clothes,
das,T-Shirt,T-Shirts,T-shirt,nouns,clothes,
der,Anzug,Anzüge,suit,nouns,clothes,
der,Mantel,Mäntel,coat,nouns,clothes,
der,Rock,Röcke,skirt,nouns,clothes,
der,Schuh,Schuhe,shoe,nouns,clothes,
die,Bluse,Blusen,blouse,nouns,clothes,
die,Hose,Hosen,pants,nouns,clothes,
die,Kappe,Kappen,cap,nouns,clothes,
die,Tasche,Taschen,purse,nouns,clothes,
die,Kette,Ketten,necklace,nouns,clothes,
die,Brille,Brillen,glasses,nouns,clothes,
der,Schal,Schals,scarf,nouns,clothes,
,fragen,,to ask,verbs,,
,lesen,,to read,verbs,,
,hören,,to hear,verbs,,
,ergänzen,,to add/to complement/complete,verbs,,
,schreiben,,to write,verbs,,
,essen,,to eat,verbs,,
,trinken,,to drink,verbs,,
,reisen,,to travel,verbs,,
,sein,,to be,verbs,,
,heißen,,to be called,verbs,,
,wohnen (in),,to live (in),verbs,,
,kommen (aus),,to come (from),verbs,,
,studieren,,to major in,verbs,,
,lernen,,to learn,verbs,,
,arbeiten (bei),,towork (at),verbs,,
,kochen,,to cook,verbs,,
,singen,,to sing,verbs,,
,spielen,,to play,verbs,,
,machen,,to do/to make,verbs,,
,schlafen,,to sleep,verbs,,
,kaufen,,to buy,verbs,,
,sprechen,,to speak,verbs,,
,mögen,,to like,verbs,,
,tragen,,to wear/to carry,verbs,,
die,Person,Personen,person,nouns,,
das,Gespräch,Gesprächen,conversation,nouns,,
die,Wirtschaft,Wirtschaften,economics (economy),nouns,,
die,Informatik,,computer science,nouns,,
die,Geschichte,Geschichten,history,nouns,,
die,Germanistik,,German studies,nouns,,
das,Deutsch,,German,nouns,,
die,Finsternis,Finsternisse,eclipse,nouns,,
die,Kugel,Kugeln,sphere/bullet,nouns,,
der,König,Könige,king,nouns,,
die,Königin,Königinnen,queen,nouns,,
der,Studierendenwohnheim,Studierendenwohnheimen,student dormitory,nouns,,
das,Beispiel,Beispiele,example,nouns,,
der,Student,Studenten,student,nouns,,
das,Wohnheim,Wohnheime,dormitory,nouns,,
der,Bleistift,Bleistifte,pencil,nouns,,
das,Handy,Handys,cell phone,nouns,,
das,Auto,Autos,vehicle,nouns,,
